title,imdbid,production_countries
Star Trek VI: The Undiscovered Country,102975,United States of America
Boyz n the Hood,101507,United States of America
Freddy's Dead: The Final Nightmare,101917,United States of America
Oscar,102603,United States of America
Mediterraneo,102426,Italy
Child's Play 3,103956,United States of America
Army of Darkness,106308,United States of America
Orlando,107756,France
Orlando,107756,Italy
Orlando,107756,Netherlands
Orlando,107756,Russia
Orlando,107756,United Kingdom
The Crying Game,104036,Japan
The Crying Game,104036,United Kingdom
The Crying Game,104036,Ireland
King of Beggars,100963,Hong Kong
Stop! Or My Mom Will Shoot,105477,United States of America
A River Runs Through It,105265,United States of America
Singles,105415,United States of America
The Last of the Mohicans,104691,United States of America
Leap of Faith,104695,United States of America
The Bodyguard,103855,United States of America
Stay Tuned,105466,United States of America
Sleepless in Seattle,108160,United States of America
The Fugitive,106977,United States of America
Heart and Souls,107091,United States of America
Philadelphia,107818,United States of America
In the Name of the Father,107207,United Kingdom
In the Name of the Father,107207,Ireland
Heaven & Earth,107096,France
Heaven & Earth,107096,United States of America
Ace Ventura: Pet Detective,109040,United States of America
Drop Zone,109676,United States of America
Dumb and Dumber,109686,United States of America
Naked Gun 33⅓: The Final Insult,110622,United States of America
Wing Chun,111800,Hong Kong
Quiz Show,110932,United States of America
The Little Rascals,110366,United States of America
Renaissance Man,110971,Canada
Renaissance Man,110971,United States of America
Mallrats,113749,United States of America
Balto,112453,United States of America
Heat,113277,United States of America
French Kiss,113117,United Kingdom
French Kiss,113117,United States of America
A Goofy Movie,113198,Australia
A Goofy Movie,113198,Canada
A Goofy Movie,113198,France
A Goofy Movie,113198,United States of America
Casino,112641,France
Casino,112641,United States of America
Waterworld,114898,United States of America
The Pebble and the Penguin,114108,Ireland
The Pebble and the Penguin,114108,United States of America
Dragon Ball Z: Wrath of the Dragon,142243,Japan
First Knight,113071,United States of America
Othello,114057,Italy
Friday,113118,United States of America
Leaving Las Vegas,113627,United States of America
Waiting to Exhale,114885,United States of America
DragonHeart,116136,United States of America
Fargo,116282,United Kingdom
Fargo,116282,United States of America
Three Lives and Only One Death,117968,Portugal
Three Lives and Only One Death,117968,France
The Birdcage,115685,United States of America
Lone Star,116905,United States of America
Swingers,117802,United States of America
Basquiat,115632,United States of America
Jack,116669,United States of America
Jerry Maguire,116695,United States of America
Austin Powers: International Man of Mystery,118655,Germany
Austin Powers: International Man of Mystery,118655,United States of America
Flubber,119137,United States of America
Con Air,118880,United States of America
Batman & Robin,118688,United States of America
Jungle 2 Jungle,119432,United States of America
Wild America,120512,United States of America
My Best Friend's Wedding,119738,United States of America
Kiss the Girls,119468,United States of America
Ovosodo,122648,Italy
The Full Monty,119164,United Kingdom
A Life Less Ordinary,119535,United Kingdom
A Life Less Ordinary,119535,United States of America
Live Flesh,118819,Spain
Live Flesh,118819,France
Anaconda,118615,Brazil
Anaconda,118615,Peru
Anaconda,118615,United States of America
Retroactive,117468,United States of America
Velvet Goldmine,120879,United Kingdom
Velvet Goldmine,120879,United States of America
Pi,138704,United States of America
Out of Sight,120780,United States of America
Get Real,162973,United Kingdom
American History X,120586,United States of America
The Proposition,120108,United States of America
Batman & Mr. Freeze: SubZero,143127,United States of America
The Waterboy,120484,United States of America
Tomorrow Night,140627,United States of America
Kirikou and the Sorceress,181627,France
Kirikou and the Sorceress,181627,Belgium
Kirikou and the Sorceress,181627,Luxembourg
Tarzan,120855,United States of America
Wild Wild West,120891,United States of America
A Midsummer Night's Dream,140379,Italy
A Midsummer Night's Dream,140379,United States of America
A Midsummer Night's Dream,140379,United Kingdom
American Pie,163651,United States of America
Inferno,139151,United States of America
For Love of the Game,126916,United States of America
Wing Commander,131646,Luxembourg
Wing Commander,131646,United States of America
The Hurricane,174856,United States of America
The World Is Not Enough,143145,United Kingdom
The World Is Not Enough,143145,United States of America
The Deep End of the Ocean,120646,United States of America
The Thirteenth Year,200208,
High Fidelity,146882,United Kingdom
High Fidelity,146882,United States of America
Joint Security Area,260991,South Korea
Sexy Beast,203119,Spain
Sexy Beast,203119,United Kingdom
Meet the Parents,212338,United States of America
Cast Away,162222,United States of America
The Cell,209958,Germany
The Cell,209958,United States of America
The Way of the Gun,202677,United States of America
Bounce,186894,United States of America
Tadpole,271219,United States of America
Ju-on: The Curse 2,330501,Japan
Some Voices,218616,United Kingdom
Space Cowboys,186566,United States of America
Just a Question of Love,231844,France
Finding Forrester,181536,United States of America
Bless the Child,163983,United States of America
Next Friday,195945,United States of America
The Perfect Storm,177971,United States of America
The Mystic Masseur,282771,India
The Mystic Masseur,282771,Trinidad and Tobago
The Mystic Masseur,282771,United Kingdom
The Mystic Masseur,282771,United States of America
Kate & Leopold,35423,United States of America
Millennium Actress,291350,Japan
Late Marriage,287471,Israel
Late Marriage,287471,France
Pearl Harbor,213149,United States of America
Brotherhood of the Wolf,237534,France
Go,299937,Japan
Valentine,242998,United States of America
Monster's Ball,285742,United States of America
Jurassic Park III,163025,United States of America
Moscow Square,273840,Hungary
The Quiet American,258068,Australia
The Quiet American,258068,Germany
The Quiet American,258068,United Kingdom
The Quiet American,258068,United States of America
The Quiet American,258068,Vietnam
Catch Me If You Can,264464,United States of America
Frida,120679,Canada
Frida,120679,Mexico
Frida,120679,United States of America
Yossi & Jagger,334754,Israel
Death to Smoochy,266452,Germany
Death to Smoochy,266452,United Kingdom
Death to Smoochy,266452,United States of America
Die Another Day,246460,United Kingdom
Die Another Day,246460,United States of America
Igby Goes Down,280760,United States of America
25th Hour,307901,United States of America
Confessions of a Dangerous Mind,270288,United States of America
The Mothman Prophecies,265349,United States of America
Charlotte Sometimes,284478,
Spider,278731,Canada
Spider,278731,United Kingdom
About a Boy,276751,United Kingdom
About a Boy,276751,United States of America
Friday After Next,293815,United States of America
Enough,278435,United States of America
Brown Sugar,297037,United States of America
The Matrix Reloaded,234215,United States of America
Sinbad: Legend of the Seven Seas,165982,United States of America
Holes,311289,United States of America
Zatoichi,363226,Japan
The Old Fairy Tale: When the Sun Was God,380726,Poland
Shattered Glass,323944,Canada
Shattered Glass,323944,United States of America
The Dreamers,309987,France
The Dreamers,309987,Italy
The Dreamers,309987,United Kingdom
House of the Dead,317676,Canada
House of the Dead,317676,Germany
House of the Dead,317676,United States of America
The Man Who Copied,367859,Brazil
Time of the Wolf,324197,Austria
Time of the Wolf,324197,France
Time of the Wolf,324197,Germany
Old School,302886,United States of America
Paycheck,338337,Canada
Paycheck,338337,United States of America
The Hebrew Hammer,317640,United States of America
Ocean's Twelve,349903,United States of America
Saw,387564,United States of America
"Mickey, Donald, Goofy: The Three Musketeers",371823,United States of America
50 First Dates,343660,United States of America
The Chronicles of Riddick,296572,United States of America
Team America: World Police,372588,Germany
Team America: World Police,372588,United States of America
The Phantom of the Opera,293508,United Kingdom
The Final Cut,364343,Canada
The Final Cut,364343,Germany
The Final Cut,364343,United States of America
The Life Aquatic with Steve Zissou,362270,United States of America
National Treasure,368891,United States of America
Taking Lives,364045,United States of America
Jersey Girl,300051,United States of America
She Hate Me,384533,United States of America
Romasanta: The Werewolf Hunt,374180,Spain
Romasanta: The Werewolf Hunt,374180,United Kingdom
Stage Beauty,368658,United Kingdom
Stage Beauty,368658,United States of America
Stage Beauty,368658,Germany
G.O.R.A.,384116,Turkey
The Squid and the Whale,367089,United States of America
A Bittersweet Life,456912,South Korea
The Jacket,366627,Germany
The Jacket,366627,United States of America
Brokeback Mountain,388795,Canada
Brokeback Mountain,388795,United States of America
Lord of War,399295,France
Lord of War,399295,United States of America
Lord of War,399295,Germany
Shopgirl,338427,United States of America
Cinderella Man,352248,United States of America
A Cock and Bull Story,423409,United Kingdom
Mr. & Mrs. Smith,356910,China
Mr. & Mrs. Smith,356910,United States of America
Hitch,386588,United States of America
Must Love Dogs,417001,United States of America
Hate Crime,415833,United States of America
Boogeyman,357507,United States of America
Boy Eats Girl,415679,Ireland
Boy Eats Girl,415679,United Kingdom
Lords of Dogtown,355702,Germany
Lords of Dogtown,355702,United States of America
Breakfast on Pluto,411195,Ireland
Breakfast on Pluto,411195,United Kingdom
House of Wax,397065,United States of America
Just Sex and Nothing Else,402115,Hungary
Say Uncle,401385,United States of America
The Moustache,428856,France
Survival Island,377309,Luxembourg
Survival Island,377309,United Kingdom
Survival Island,377309,United States of America
Once,907657,Ireland
Still Life,859765,United States of America
Still Life,859765,Mexico
Still Life,859765,Czech Republic
I'm Reed Fish,464061,United States of America
After the Wedding,457655,Denmark
After the Wedding,457655,Sweden
Curse of the Golden Flower,473444,China
Curse of the Golden Flower,473444,Hong Kong
The Ant Bully,429589,United States of America
Lady in the Water,452637,United States of America
Fido,457572,Canada
Poseidon,409182,United States of America
Hollywoodland,427969,United States of America
The Shaggy Dog,393735,United States of America
Talladega Nights: The Ballad of Ricky Bobby,415306,United States of America
World Trade Center,469641,United States of America
Futurama: Bender's Big Score,471711,United States of America
Next,435705,United States of America
Crashing,475243,
Charlie Bartlett,423977,United States of America
Reclaim Your Brain,810868,Germany
The Diving Bell and the Butterfly,401383,France
The Diving Bell and the Butterfly,401383,United States of America
Michael Clayton,465538,United States of America
30 Days of Night,389722,New Zealand
30 Days of Night,389722,United States of America
The Signal,780607,United States of America
Caramel,825236,Lebanon
Caramel,825236,France
Before the Devil Knows You're Dead,292963,United States of America
Whisper,435528,Canada
Whisper,435528,United States of America
Spider-Man 3,413300,United States of America
The Bourne Ultimatum,440963,France
The Bourne Ultimatum,440963,Germany
The Bourne Ultimatum,440963,Spain
The Bourne Ultimatum,440963,United States of America
Norbit,477051,United States of America
The Brothers Solomon,784972,United States of America
Flatland,814106,United States of America
Two Worlds,808230,France
Bleach the Movie: The DiamondDust Rebellion,1148261,Japan
Control,421082,Australia
Control,421082,United Kingdom
Control,421082,United States of America
American Pie Presents: Beta House,974959,United States of America
The Heartbreak Kid,408839,United States of America
Gran Torino,1205489,United States of America
Gran Torino,1205489,Germany
Franklyn,893402,France
Franklyn,893402,United Kingdom
Marley & Me,822832,United States of America
Igor,465502,United States of America
Igor,465502,France
Miracle at St. Anna,1046997,Italy
Miracle at St. Anna,1046997,United States of America
Fireproof,1129423,United States of America
Australia,455824,Australia
Australia,455824,United States of America
Australia,455824,United Kingdom
Adulthood,1126596,United Kingdom
Management,1082853,United States of America
The Spirit,831887,United States of America
Made of Honor,866439,United Kingdom
Made of Honor,866439,United States of America
Welcome to the Sticks,1064932,France
Picture This,1076252,United States of America
Dead Space: Downfall,1267379,United States of America
Never Back Down,1023111,United States of America
Duplicity,1135487,Germany
Duplicity,1135487,United States of America
"I Love You, Man",1155056,United States of America
The Invention of Lying,1058017,United States of America
Up in the Air,1193138,United States of America
Nine,875034,Italy
Nine,875034,United States of America
Ajami,1077262,Israel
Ajami,1077262,Germany
Frequently Asked Questions About Time Travel,910554,United Kingdom
Serious Moonlight,1133993,United States of America
The Proposal,1041829,United States of America
Dead Snow,1278340,Norway
Coco Chanel & Igor Stravinsky,1023441,France
Coco Chanel & Igor Stravinsky,1023441,Japan
Coco Chanel & Igor Stravinsky,1023441,Switzerland
The Ugly Truth,1142988,United States of America
A Serious Man,1019452,United States of America
A Serious Man,1019452,United Kingdom
A Serious Man,1019452,France
Everybody's Fine,780511,United States of America
The Scouting Book for Boys,1022885,United Kingdom
The Blind Side,878804,United States of America
TiMER,1179794,United States of America
I Killed My Mother,1424797,Canada
My Bloody Valentine,1179891,United States of America
"My Son, My Son, What Have Ye Done",1233219,Germany
"My Son, My Son, What Have Ye Done",1233219,United States of America
The Concert,1320082,Belgium
The Concert,1320082,Italy
The Concert,1320082,Romania
The Concert,1320082,France
Paa,1532957,India
Black Dynamite,1190536,United States of America
In the Electric Mist,910905,France
In the Electric Mist,910905,United States of America
Adam,1185836,United States of America
Friday the 13th,758746,United States of America
From Beginning to End,1440741,Brazil
Awaydays,1137436,United Kingdom
Cemetery Junction,1196204,United Kingdom
The Ghost Writer,1139328,United Kingdom
The Ghost Writer,1139328,Germany
The Ghost Writer,1139328,France
The Switch,889573,United States of America
The Other Guys,1386588,United States of America
Knight and Day,1013743,United States of America
Heartbeats,1600524,Canada
Heartbeats,1600524,France
RED,1245526,United States of America
Score: A Hockey Musical,1592876,Canada
Chico & Rita,1235830,Spain
Chico & Rita,1235830,United Kingdom
Gunless,1376195,Canada
The Client List,1625340,United States of America
The Fighter,964517,United States of America
Blue Valentine,1120985,United States of America
Love & Other Drugs,758752,United States of America
Meek's Cutoff,1518812,United States of America
18 Meals,1671616,Spain
Ceremony,1341341,United States of America
Tekken,411951,United States of America
Tekken,411951,Japan
Tekken,411951,China
Beyond the Black Rainbow,1534085,Canada
The Perfect Host,1334553,United States of America
Arthur,1334512,United States of America
Hop,1411704,United States of America
Dolphin Tale,1564349,United States of America
Cars 2,1216475,United States of America
The Three Musketeers,1509767,United States of America
The Three Musketeers,1509767,United Kingdom
The Three Musketeers,1509767,Germany
The Three Musketeers,1509767,France
The Big Year,1053810,United States of America
50/50,1306980,United States of America
Immortals,1253864,United States of America
Final Destination 5,1622979,United States of America
Hall Pass,480687,United States of America
Extremely Loud & Incredibly Close,477302,United States of America
We Bought a Zoo,1389137,United States of America
Wuthering Heights,1181614,United Kingdom
Michael,1906426,Austria
Salmon Fishing in the Yemen,1441952,France
Salmon Fishing in the Yemen,1441952,United Kingdom
Footnote,1445520,Israel
Tyrannosaur,1204340,United Kingdom
All Together,1674057,Germany
All Together,1674057,France
Bullhead,1821593,Belgium
Coriolanus,1372686,Italy
Coriolanus,1372686,Serbia and Montenegro
Coriolanus,1372686,United States of America
Singham,1948150,India
Dead Space: Aftermath,1711366,United States of America
Superman vs. The Elite,2224455,United States of America
Red Tails,485985,United States of America
This Means War,1596350,United States of America
Madagascar 3: Europe's Most Wanted,1277953,United States of America
21 Jump Street,1232829,United States of America
The Amazing Spider-Man,948470,United States of America
Ted,1637725,United States of America
To Rome with Love,1859650,Italy
To Rome with Love,1859650,Spain
To Rome with Love,1859650,United States of America
The Watch,1298649,United States of America
Killer Joe,1726669,United States of America
Sleepwalk with Me,2077851,United States of America
Sinister,1922777,Canada
Sinister,1922777,United Kingdom
Sinister,1922777,United States of America
Barfi!,2082197,India
The Sessions,1866249,United States of America
Anna Karenina,1781769,France
Anna Karenina,1781769,United Kingdom
Hitchcock,975645,United States of America
Arbitrage,1764183,United States of America
Taken 2,1397280,France
Eega,2258337,India
Hyde Park on Hudson,1477855,United Kingdom
The Impossible,1649419,United States of America
The Impossible,1649419,Spain
The Hunt,2106476,Denmark
The Hunt,2106476,Sweden
Supporting Characters,1874789,
Hemingway & Gellhorn,423455,United States of America
The History of Future Folk,2245195,United States of America
Cockneys vs Zombies,1362058,United Kingdom
A Thousand Words,763831,United States of America
Any Questions for Ben?,1735839,Australia
Save the Date,1965065,United States of America
Sister,2062969,France
Sister,2062969,Switzerland
Greetings from Tim Buckley,1823125,United States of America
Ice Age: Continental Drift,1667889,United States of America
Ego,2287715,Sweden
Warm Bodies,1588173,United States of America
Identity Thief,2024432,United States of America
Jurassic Attack,2303110,
42,453562,United States of America
The Hangover Part III,1951261,United States of America
I'm So Excited!,2243389,Spain
White House Down,2334879,United States of America
The World's End,1213663,United Kingdom
Grown Ups 2,2191701,United States of America
Dark Skies,2387433,United States of America
Clear History,2279864,United States of America
Disconnect,1433811,United States of America
Closed Circuit,2218003,United Kingdom
Closed Circuit,2218003,United States of America
Escape Plan,1211956,United States of America
Exit Marrakech,1982177,Germany
Ender's Game,1731141,United States of America
Thanks for Sharing,1932718,United States of America
Her,1798709,United States of America
Insidious: Chapter 2,2226417,United States of America
47 Ronin,1335975,Hungary
47 Ronin,1335975,Japan
47 Ronin,1335975,United Kingdom
47 Ronin,1335975,United States of America
Love Is the Perfect Crime,3103576,Belgium
Love Is the Perfect Crime,3103576,France
Love Is the Perfect Crime,3103576,Switzerland
Oldboy,1321511,United States of America
Fading Gigolo,2258345,United States of America
Journey to the West: Conquering the Demons,2017561,China
Bad Words,2170299,United States of America
The Kings of Summer,2179116,United States of America
Homefront,2312718,United States of America
The Spectacular Now,1714206,United States of America
Tim's Vermeer,3089388,United States of America
Cycling with Molière,2207050,France
Young Detective Dee: Rise of the Sea Dragon,2992146,China
Young Detective Dee: Rise of the Sea Dragon,2992146,Hong Kong
Monster Pies,2379082,Australia
Justice League: The Flashpoint Paradox,2820466,United States of America
The Legend of Hercules,1043726,United States of America
RoboCop,1234721,United States of America
Paranormal Activity: The Marked Ones,2473682,United States of America
Joe,2382396,United States of America
Yves Saint Laurent,2707858,Belgium
Yves Saint Laurent,2707858,France
Draft Day,2223990,United States of America
Godzilla,831387,Japan
Godzilla,831387,United States of America
A Million Ways to Die in the West,2557490,United States of America
Ragamuffin,2412568,
Best in Bed,2545186,France
The New Girlfriend,3184934,France
Ek Villain,3175038,India
Calvary,2234003,Ireland
Calvary,2234003,United Kingdom
Jersey Boys,1742044,United States of America
Hercules,1267297,United States of America
22 Jump Street,2294449,United States of America
Alpha House,3307774,United States of America
The Boxtrolls,787474,United States of America
A Most Wanted Man,1972571,United Kingdom
A Most Wanted Man,1972571,United States of America
A Most Wanted Man,1972571,Germany
Get on Up,2473602,United States of America
Saint Seiya: Legend of Sanctuary,2231489,Japan
Who Am I,3042408,Germany
The Judge,1872194,United States of America
Whisper If I Forget,4114744,Turkey
The Imitation Game,2084970,United Kingdom
The Imitation Game,2084970,United States of America
This Is Where I Leave You,1371150,United States of America
Exodus: Gods and Kings,1528100,Spain
Exodus: Gods and Kings,1528100,United Kingdom
Exodus: Gods and Kings,1528100,United States of America
No Thanks,2808680,Finland
Love Is Strange,2639344,Brazil
Love Is Strange,2639344,France
Love Is Strange,2639344,Greece
Love Is Strange,2639344,United States of America
Someone Marry Barry,1978532,United States of America
Güeros,3499048,Mexico
Love & Mercy,903657,United States of America
Escobar: Paradise Lost,2515030,Belgium
Escobar: Paradise Lost,2515030,France
Escobar: Paradise Lost,2515030,Spain
Marshland,3253930,Spain
Step Up All In,2626350,United States of America
Hungry Hearts,3344922,Italy
Amour Fou,3003800,Austria
Amour Fou,3003800,Germany
Amour Fou,3003800,Luxembourg
Son of Batman,3139072,United States of America
Haider,3390572,India
Heaven Is for Real,1929263,Canada
Heaven Is for Real,1929263,United States of America
Search Party,2758904,United States of America
The Last: Naruto the Movie,3717532,Japan
About Last Night,1826590,United States of America
Deliver Us from Evil,2377322,United States of America
Date and Switch,1878942,United States of America
PK,2338151,India
The SpongeBob Movie: Sponge Out of Water,2279373,United States of America
Almost Mercy,3480446,
Drunk Wedding,1950135,United States of America
Kung Fury,3472226,Sweden
Entourage,1674771,United States of America
Child 44,1014763,United Kingdom
Child 44,1014763,United States of America
Child 44,1014763,Czech Republic
Child 44,1014763,Romania
Ant-Man,478970,United States of America
Southpaw,1798684,United States of America
Irrational Man,3715320,United States of America
Paper Towns,3622592,United States of America
Madame Bovary,2334733,Belgium
Madame Bovary,2334733,Germany
Madame Bovary,2334733,United States of America
Bloodsucking Bastards,3487994,United States of America
The Perfect Guy,3862750,United States of America
Goosebumps,1051904,United States of America
The Ridiculous 6,2479478,United States of America
Schneider vs. Bax,3430416,Netherlands
Creed,3076658,United States of America
Bill,2978576,United Kingdom
Anomalisa,2401878,United States of America
Anomalisa,2401878,United Kingdom
Everest,2719848,Iceland
Everest,2719848,United States of America
Everest,2719848,United Kingdom
A Perfect Day,3577624,Spain
Experimenter,3726704,United States of America
Already Tomorrow in Hong Kong,3700804,Hong Kong
Already Tomorrow in Hong Kong,3700804,United States of America
Synchronicity,2049543,United States of America
Hot Pursuit,2967224,United States of America
Unfinished Business,2358925,United States of America
High-Rise,462335,Belgium
High-Rise,462335,United Kingdom
A Walk in the Woods,1178665,United States of America
Bajirao Mastani,3735246,India
The Assassin,3508840,China
The Assassin,3508840,Hong Kong
The Assassin,3508840,Taiwan
The 5th Wave,2304933,United States of America
Batman v Superman: Dawn of Justice,2975590,United States of America
The Jungle Book,3040964,United Kingdom
The Jungle Book,3040964,United States of America
Gods of Egypt,2404233,Australia
Gods of Egypt,2404233,United States of America
The Secret Life of Pets,2709768,United States of America
Swiss Army Man,4034354,Sweden
Swiss Army Man,4034354,United States of America
13 Hours: The Secret Soldiers of Benghazi,4172430,Malta
13 Hours: The Secret Soldiers of Benghazi,4172430,Morocco
13 Hours: The Secret Soldiers of Benghazi,4172430,United States of America
Eddie the Eagle,1083452,Germany
Eddie the Eagle,1083452,United Kingdom
Eddie the Eagle,1083452,United States of America
Southside with You,4258698,United States of America
Elvis & Nixon,2093991,United States of America
High Strung,3451230,Romania
High Strung,3451230,United States of America
The Accountant,2140479,United States of America
Central Intelligence,1489889,United States of America
Free State of Jones,1124037,United States of America
In a Valley of Violence,3608930,United States of America
Deepwater Horizon,1860357,China
Deepwater Horizon,1860357,Hong Kong
Deepwater Horizon,1860357,United States of America
Inferno,3062096,Hungary
Inferno,3062096,United States of America
Mr. Right,2091935,United States of America
Lion,3741834,Australia
Lion,3741834,United Kingdom
Lion,3741834,United States of America
Underworld: Blood Wars,3717252,United States of America
Una,2315582,Canada
Una,2315582,United States of America
Una,2315582,United Kingdom
The Darkness,1878841,United States of America
Pet,1183374,Spain
Pet,1183374,United States of America
Yoga Hosers,3838992,United States of America
Sweet Dreams,4746506,France
Sweet Dreams,4746506,Italy
The Perfect Match,4871980,United States of America
Blair Witch,1540011,Canada
Blair Witch,1540011,United States of America
Collateral Beauty,4682786,United States of America
Dirty Grandpa,1860213,United States of America
Raman Raghav 2.0,5662932,India
Miss Saigon,6162808,United Kingdom
The Mummy,2345759,China
The Mummy,2345759,Japan
The Mummy,2345759,United States of America
Detroit,5390504,United States of America
How to Be a Latin Lover,4795124,United States of America
Rings,498381,United States of America
Goon: Last of the Enforcers,2417712,Canada
Burning Sands,5826432,United States of America
Bad Boys for Life,1502397,United States of America
Baby's Meal,29,France
The Story of the Kelly Gang,574,Australia
The Man From Beyond,13367,United States of America
Nanook of the North,13427,France
Nanook of the North,13427,United States of America
The Temptress,17449,United States of America
Flesh and the Devil,16884,United States of America
The Adventures of Prince Achmed,15532,Germany
Metropolis,17136,Germany
Wings,18578,United States of America
The Jazz Singer,18037,United States of America
Downhill,17825,United Kingdom
The Crowd,18806,United States of America
The Blue Angel,20697,Germany
Morocco,21156,United States of America
Frankenstein,21884,United States of America
Monkey Business,22158,United States of America
À Nous la Liberté,22599,France
Little Caesar,21079,United States of America
The Champ,21730,United States of America
I Am a Fugitive from a Chain Gang,23042,United States of America
Horse Feathers,23027,United States of America
Boudu Saved from Drowning,22718,France
"I Was Born, But...",23634,Japan
Island of Lost Souls,24188,United States of America
Scarface,23427,United States of America
The Death Kiss,23935,United States of America
The Blue Light,22694,Germany
The Private Life of Henry VIII,24473,United Kingdom
Duck Soup,23969,United States of America
The Invisible Man,24184,United States of America
Design for Living,23940,United States of America
The Cat's-Paw,24961,United States of America
The Painted Veil,25617,United States of America
The Count of Monte Cristo,25004,United States of America
Cleopatra,24991,United States of America
Of Human Bondage,25586,United States of America
Mutiny on the Bounty,26752,United States of America
A Night at the Opera,26778,United States of America
Swing Time,28333,United States of America
The Charge of the Light Brigade,27438,United States of America
San Francisco,28216,United States of America
Shall We Dance,29546,United States of America
The Prisoner of Zenda,29442,United States of America
The Life of Emile Zola,29146,United States of America
The Baker's Wife,30127,France
Angels with Dirty Faces,29870,United States of America
Mr. Wong in Chinatown,31680,United States of America
Of Mice and Men,31742,United States of America
Pinocchio,32910,United States of America
Boom Town,32273,United States of America
Santa Fe Trail,33021,United States of America
Foreign Correspondent,32484,United Kingdom
Foreign Correspondent,32484,United States of America
Knute Rockne All American,32676,United States of America
The Maltese Falcon,33870,United States of America
Citizen Kane,33467,United States of America
Mr. Bug Goes to Town,33727,United States of America
High Sierra,33717,United States of America
Ladies in Retirement,33802,United States of America
Casablanca,34583,United States of America
Bambi,34492,United States of America
Sherlock Holmes and the Secret Weapon,35317,United States of America
Girl Crazy,35942,United States of America
The Sky's the Limit,36363,United States of America
The Ox-Bow Incident,36244,United States of America
The More the Merrier,36172,United States of America
Carnival of Sinners,35017,France
Ossessione,35160,Italy
The Woman in the Window,37469,United States of America
The Punch Bowl,36818,Germany
Detour,37638,United States of America
The Big Sleep,38355,United States of America
The Postman Always Rings Twice,38854,United States of America
The Jolson Story,38661,United States of America
My Darling Clementine,38762,United States of America
The Chase,38409,United States of America
Terror by Night,39017,United States of America
The Dark Corner,38453,United States of America
Make Mine Music,38718,United States of America
Fun and Fancy Free,39404,United States of America
Gentleman's Agreement,39416,United States of America
Hamlet,40416,United Kingdom
Casbah,40214,United States of America
The Fuller Brush Man,40379,United States of America
Call Northside 777,40202,United States of America
Melody Time,40580,United States of America
Macbeth,40558,United States of America
Kind Hearts and Coronets,41546,United Kingdom
The Fountainhead,41386,United States of America
All the King's Men,41113,United States of America
The Asphalt Jungle,42208,United States of America
The Flying Saucer,42469,United States of America
D.O.A.,42369,United States of America
Diary of a Country Priest,42619,France
An American in Paris,43278,United States of America
The Thing From Another World,44121,United States of America
The Quiet Man,45061,United States of America
Limelight,44837,United States of America
The Snows of Kilimanjaro,45162,United States of America
Ikiru,44741,Japan
Julius Caesar,45943,United States of America
The Wages of Fear,46268,France
The Wages of Fear,46268,Italy
The Band Wagon,45537,United States of America
The War of the Worlds,46534,United States of America
Shane,46303,United States of America
I Confess,45897,United States of America
The Wild One,47677,United States of America
"The Beast From 20,000 Fathoms",45546,United States of America
Touchez Pas au Grisbi,46451,France
Touchez Pas au Grisbi,46451,Italy
Them!,47573,United States of America
Knock On Wood,47152,United States of America
A Star Is Born,47522,United States of America
Godzilla,47034,Japan
An American in Rome,46705,Italy
The Caine Mutiny,46816,United States of America
The Dam Busters,46889,United Kingdom
Rebel Without a Cause,48545,United States of America
Rififi,48021,France
The Seven Year Itch,48605,United States of America
Killer's Kiss,48254,United States of America
Saboteur,35279,United States of America
Saboteur,35279,United States of America
The Iron Petticoat,49369,United States of America
The Wrong Man,51207,United States of America
Indestructible Man,49363,United States of America
The Killing,49406,United States of America
Rodan,49782,Japan
The Captain from Kopenick,49293,Germany
Old Yeller,50798,United States of America
Kanal,50585,Poland
The Seventh Seal,50976,Sweden
Sweet Smell of Success,51036,United States of America
The Bridge on the River Kwai,50212,United Kingdom
The Bridge on the River Kwai,50212,United States of America
A Face in the Crowd,50371,United States of America
Witness for the Prosecution,51201,United States of America
Vertigo,52357,United States of America
Teacher's Pet,52278,United States of America
The Day the Sky Exploded,51951,Italy
Touch of Evil,52311,United States of America
I Bury the Living,51755,United States of America
It! The Terror from Beyond Space,51786,United States of America
Journey to the Center of the Earth,52948,United States of America
North by Northwest,53125,United States of America
The Tingler,53363,United States of America
The Great War,52861,France
The Great War,52861,Italy
Anatomy of a Murder,52561,United States of America
Battle in Outer Space,53388,Japan
Rio Bravo,53221,United States of America
Plan 9 from Outer Space,52077,United States of America
Night of the Ghouls,156843,United States of America
Testament of Orpheus,54377,France
School for Scoundrels,54279,United Kingdom
First Spaceship on Venus,53250,East Germany
First Spaceship on Venus,53250,Poland
The Bad Sleep Well,54460,Japan
Yojimbo,55630,Japan
El Cid,54847,Italy
El Cid,54847,United States of America
The Guns of Navarone,54953,United Kingdom
The Guns of Navarone,54953,United States of America
Ivan's Childhood,56111,Soviet Union
The Manchurian Candidate,56218,United States of America
The Trial,57427,France
The Trial,57427,Germany
The Trial,57427,Italy
Dr. No,55928,United Kingdom
Dr. No,55928,United States of America
Swords of Blood,55832,France
Swords of Blood,55832,Italy
Robbery at 3 O'clock,55763,Spain
The Pink Panther,57413,United States of America
55 Days at Peking,56800,United States of America
The Bakery Girl of Monceau,56884,Algeria
The Bakery Girl of Monceau,56884,France
Contempt,57345,France
Contempt,57345,Italy
X: The Man with the X-Ray Eyes,57693,United States of America
The Raven,57449,United States of America
The Executioner,57643,Spain
The Executioner,57643,Italy
